"product_id","avgprice","orderfrequency","avgqtyperorder","distinctcustomercount"
1,"17.147368330704538","38","21.7894736842105263","31"
2,"17.877272670919243","44","24.0227272727272727","28"
3,"9.5","12","27.3333333333333333","10"
4,"20.68000011444092","20","22.6500000000000000","17"
5,"19.610000228881837","10","29.8000000000000000","9"
6,"24.166666666666668","12","25.0833333333333333","11"
7,"29.17241379310345","29","26.3103448275862069","20"
8,"38.76923076923077","13","28.6153846153846154","13"
9,"93.11999969482422","5","19.0000000000000000","5"
10,"29.684848323012844","33","22.4848484848484848","26"
11,"19.599999779149105","38","18.5789473684210526","32"
12,"36.91428565979004","14","24.5714285714285714","12"
13,"5.7600000381469725","40","22.2750000000000000","30"
14,"21.34772742878307","22","18.3636363636363636","18"
15,"14.466666539510092","6","20.3333333333333333","6"
16,"16.376744603001793","43","26.9302325581395349","31"
17,"36.47027051771009","37","26.4324324324324324","24"
18,"59.72222222222222","27","19.9629629629629630","22"
19,"8.532432375727472","37","19.5405405405405405","28"
20,"75.93750095367432","16","19.5625000000000000","14"
21,"9.384615384615385","39","26.0512820512820513","29"
22,"20.39999989100865","14","24.8571428571428571","14"
23,"8.369999933242799","20","29.0000000000000000","17"
24,"4.235294089597814","51","22.0588235294117647","34"
25,"13.066666603088379","18","17.6666666666666667","16"
26,"28.856249570846558","32","23.5312500000000000","24"
27,"40.96666717529297","9","40.5555555555555556","9"
28,"41.97575725208629","33","19.3939393939393939","26"
29,"116.04312562942505","32","23.3125000000000000","27"
30,"24.26812481880188","32","19.1250000000000000","22"
31,"11.666666666666666","51","27.3921568627450980","34"
32,"30.720000076293946","15","19.8000000000000000","12"
33,"2.328125","32","23.5937500000000000","26"
34,"12.96842098236084","19","26.6315789473684211","14"
35,"16.999999894036186","36","24.5277777777777778","28"
36,"17.89677413817375","31","25.9677419354838710","23"
37,"23.399999618530273","6","20.8333333333333333","6"
38,"245.93333435058594","24","25.9583333333333333","19"
39,"16.67999986012777","30","26.4333333333333333","26"
40,"17.226828947299865","41","26.9024390243902439","30"
41,"9.193616684446944","47","20.8723404255319149","34"
42,"13.206666628519693","30","23.2333333333333333","21"
43,"43.042856897626606","28","20.7142857142857143","26"
44,"18.133333841959637","24","25.0416666666666667","18"
45,"9.22857141494751","14","36.2857142857142857","12"
46,"11.111111252396196","27","20.2962962962962963","23"
47,"9.138095219930014","21","23.0952380952380952","18"
48,"11.899999936421713","6","23.0000000000000000","6"
49,"18.476190476190474","21","24.7619047619047619","19"
50,"14.95","10","23.5000000000000000","9"
51,"50.553846505972054","39","22.7179487179487179","32"
52,"6.758620673212512","29","17.2413793103448276","27"
53,"30.15999984741211","30","24.0666666666666667","25"
54,"6.804166595141093","36","20.9722222222222222","28"
55,"22.400000254313152","33","27.3636363636363636","26"
56,"35.41599987030029","50","25.2600000000000000","34"
57,"18.143478393554688","23","18.8695652173913043","21"
58,"12.661111195882162","18","29.6666666666666667","17"
59,"51.129629629629626","54","27.7037037037037037","43"
60,"32.133333542767694","51","30.9215686274509804","36"
61,"27.78749990463257","24","25.1250000000000000","22"
62,"46.41249990463257","48","22.5625000000000000","33"
63,"40.794118095846734","17","26.1764705882352941","15"
64,"31.03333346048991","30","24.6666666666666667","19"
65,"19.456249237060547","32","23.2812500000000000","23"
66,"15.300000190734863","8","29.8750000000000000","8"
67,"13.719999980926513","10","18.4000000000000000","10"
68,"11.544117647058824","34","23.5000000000000000","27"
69,"33.44516101960213","31","23.0322580645161290","24"
70,"14.153846153846153","39","20.9487179487179487","30"
71,"19.759524118332635","42","25.1666666666666667","27"
72,"32.036841342323704","38","21.2105263157894737","33"
73,"14.357142857142858","14","20.9285714285714286","11"
74,"8.76923076923077","13","22.8461538461538462","11"
75,"7.379347780476445","46","25.1086956521739130","33"
76,"16.98461527702136","39","25.1538461538461538","33"
77,"12.110526185286673","38","20.8157894736842105","28"
